,src,iso_code,region,trg,weighted,log-weight,norm-log-weight,days_since_100_cases_in_China_2019,weeks_since_100_cases
547,Australia,AUS,Oceania,Hong Kong,16.0,2.772588722239781,0.4436159528269489,53.0,7
548,Australia,AUS,Oceania,India,2.0,0.6931471805599453,0.11090398820673722,53.0,7
549,Australia,AUS,Oceania,Indonesia,26.0,3.258096538021482,0.5212975110671989,53.0,7
550,Australia,AUS,Oceania,Japan,15.0,2.70805020110221,0.4332897485403797,53.0,7
551,Australia,AUS,Oceania,Malaysia,14.0,2.6390573296152584,0.4222508453747394,53.0,7
552,Australia,AUS,Oceania,Mauritius,1.0,0.0,0.0,53.0,7
553,Australia,AUS,Oceania,Nauru,1.0,0.0,0.0,53.0,7
554,Australia,AUS,Oceania,New Caledonia,4.0,1.3862943611198906,0.22180797641347444,53.0,7
555,Australia,AUS,Oceania,New Zealand,77.0,4.343805421853684,0.695011620603367,53.0,7
556,Australia,AUS,Oceania,Norfolk Island,2.0,0.6931471805599453,0.11090398820673722,53.0,7
557,Australia,AUS,Oceania,Papua New Guinea,9.0,2.1972245773362196,0.3515573249761997,53.0,7
558,Australia,AUS,Oceania,Philippines,4.0,1.3862943611198906,0.22180797641347444,53.0,7
559,Australia,AUS,Oceania,Qatar,2.0,0.6931471805599453,0.11090398820673722,53.0,7
560,Australia,AUS,Oceania,Samoa,2.0,0.6931471805599453,0.11090398820673722,53.0,7
561,Australia,AUS,Oceania,Singapore,42.0,3.7376696182833684,0.5980295078628393,53.0,7
562,Australia,AUS,Oceania,Solomon Islands,2.0,0.6931471805599453,0.11090398820673722,53.0,7
563,Australia,AUS,Oceania,South Africa,4.0,1.3862943611198906,0.22180797641347444,53.0,7
564,Australia,AUS,Oceania,"Korea, Republic of",5.0,1.6094379124341003,0.25751108605227985,53.0,7
565,Australia,AUS,Oceania,Taiwan,3.0,1.0986122886681098,0.17577866248809984,53.0,7
566,Australia,AUS,Oceania,Thailand,14.0,2.6390573296152584,0.4222508453747394,53.0,7
567,Australia,AUS,Oceania,Tonga,1.0,0.0,0.0,53.0,7
568,Australia,AUS,Oceania,United Arab Emirates,16.0,2.772588722239781,0.4436159528269489,53.0,7
569,Australia,AUS,Oceania,United States of America,26.0,3.258096538021482,0.5212975110671989,53.0,7
570,Australia,AUS,Oceania,Vanuatu,7.0,1.9459101490553132,0.3113468571680022,53.0,7
571,Australia,AUS,Oceania,Viet Nam,4.0,1.3862943611198906,0.22180797641347444,53.0,7
606,Austria,AUT,Europe,Albania,1.0,0.0,0.0,51.0,7
607,Austria,AUT,Europe,Algeria,1.0,0.0,0.0,51.0,7
608,Austria,AUT,Europe,Armenia,3.0,1.0986122886681098,0.17577866248809984,51.0,7
609,Austria,AUT,Europe,Azerbaijan,2.0,0.6931471805599453,0.11090398820673722,51.0,7
610,Austria,AUT,Europe,Belarus,2.0,0.6931471805599453,0.11090398820673722,51.0,7
611,Austria,AUT,Europe,Belgium,2.0,0.6931471805599453,0.11090398820673722,51.0,7
612,Austria,AUT,Europe,Bosnia and Herzegovina,1.0,0.0,0.0,51.0,7
613,Austria,AUT,Europe,Bulgaria,3.0,1.0986122886681098,0.17577866248809984,51.0,7
614,Austria,AUT,Europe,Canada,3.0,1.0986122886681098,0.17577866248809984,51.0,7
615,Austria,AUT,Europe,China,2.0,0.6931471805599453,0.11090398820673722,51.0,7
616,Austria,AUT,Europe,Croatia,6.0,1.791759469228055,0.28668265069483706,51.0,7
617,Austria,AUT,Europe,Cyprus,3.0,1.0986122886681098,0.17577866248809984,51.0,7
618,Austria,AUT,Europe,Czechia,1.0,0.0,0.0,51.0,7
619,Austria,AUT,Europe,Denmark,5.0,1.6094379124341003,0.25751108605227985,51.0,7
620,Austria,AUT,Europe,Egypt,6.0,1.791759469228055,0.28668265069483706,51.0,7
621,Austria,AUT,Europe,Finland,2.0,0.6931471805599453,0.11090398820673722,51.0,7
622,Austria,AUT,Europe,France,13.0,2.5649493574615367,0.4103935228604617,51.0,7
623,Austria,AUT,Europe,Georgia,2.0,0.6931471805599453,0.11090398820673722,51.0,7
624,Austria,AUT,Europe,Germany,67.0,4.204692619390966,0.6727534840395448,51.0,7
625,Austria,AUT,Europe,Greece,36.0,3.58351893845611,0.5733653013896741,51.0,7
626,Austria,AUT,Europe,Hungary,1.0,0.0,0.0,51.0,7
627,Austria,AUT,Europe,India,2.0,0.6931471805599453,0.11090398820673722,51.0,7
