	src	trg	iso_code_src	region	iso_code_trg	kmdist	proximity	log-prox	norm-log-prox
150	Chad	Nigeria	TCD	Africa	NGA	1441	0.000693962526	0.1374930935	0.1435532659
151	Chad	Sudan	TCD	Africa	SDN	1938	0.000515995872	0.1321106616	0.1200718017
152	Chad	Sudan	TCD	Africa	SDN	1938	0.000515995872	0.1321106616	0.1200718017
155	Chile	Peru	CHL	Americas	PER	2425	0.000412371134	0.1283106258	0.1034937181
158	China	Hong Kong	CHN	Asia	HKG	1973	0.000506842372	0.1317990083	0.1187121789
159	China	India	CHN	Asia	IND	3780	0.0002645502646	0.1213963599	0.07332945528
160	China	India	CHN	Asia	IND	3780	0.0002645502646	0.1213963599	0.07332945528
161	China	Kazakhstan	CHN	Asia	KAZ	3280	0.0003048780488	0.1235239093	0.08261112917
162	China	Korea (Democratic People's Republic of)	CHN	Asia	PRK	820	0.001219512195	0.149046749	0.1939573877
163	China	Kyrgyzstan	CHN	Asia	KGZ	3497	0.0002859593938	0.122554115	0.07838029214
164	China	Lao People's Democratic Republic	CHN	Asia	LAO	2780	0.0003597122302	0.1261001258	0.09385016308
165	China	Macao	CHN	Asia	MAC	1990	0.0005025125628	0.1316501438	0.118062741
166	China	Mongolia	CHN	Asia	MNG	1166	0.0008576329331	0.1416162935	0.1615411897
167	China	Myanmar	CHN	Asia	MMR	3222	0.0003103662322	0.1237967335	0.08380135506
168	China	Nepal	CHN	Asia	NPL	3159	0.0003165558721	0.1241001067	0.08512485489
169	China	Pakistan	CHN	Asia	PAK	3910	0.0002557544757	0.1209000868	0.07116440843
170	China	Pakistan	CHN	Asia	PAK	3910	0.0002557544757	0.1209000868	0.07116440843
171	China	Russian Federation	CHN	Asia	RUS	5869	0.000170386778	0.1152413676	0.04647760939
172	China	Tajikistan	CHN	Asia	TJK	4080	0.0002450980392	0.1202811847	0.06846437818
173	China	Viet Nam	CHN	Asia	VNM	3290	0.0003039513678	0.1234774788	0.08240857071
178	Colombia	Ecuador	COL	Americas	ECU	705	0.001418439716	0.1524809147	0.2089393219
179	Colombia	Panama	COL	Americas	PAN	760	0.001315789474	0.1507541075	0.201405931
180	Colombia	Panama	COL	Americas	PAN	760	0.001315789474	0.1507541075	0.201405931
181	Colombia	Peru	COL	Americas	PER	1880	0.0005319148936	0.1326431107	0.1223946705
182	Colombia	Venezuela (Bolivarian Republic of)	COL	Americas	VEN	991	0.001009081736	0.1449545412	0.1761046708
183	Comoros	Mayotte	COM	Africa	MYT	750	0.001333333333	0.1510557314	0.2027217992
184	Comoros	Mozambique	COM	Africa	MOZ	2019	0.0004952947003	0.1313998698	0.1169708924
188	Congo	Congo, Democratic Republic of the	COG	Africa	COD	20	0.05	0.3338082007	1
189	Congo	Gabon	COG	Africa	GAB	790	0.001265822785	0.1498793558	0.1975897286
194	Congo, Democratic Republic of the	Rwanda	COD	Africa	RWA	2788	0.0003586800574	0.1260544491	0.09365089332
195	Congo, Democratic Republic of the	South Sudan	COD	Africa	SSD	2705	0.0003696857671	0.126536514	0.09575395605
196	Congo, Democratic Republic of the	Tanzania, United Republic of	COD	Africa	TZA	3564	0.0002805836139	0.1222697353	0.077139654
197	Congo, Democratic Republic of the	Uganda	COD	Africa	UGA	2946	0.000339443313	0.125184591	0.08985603964
198	Congo, Democratic Republic of the	Zambia	COD	Africa	ZMB	1880	0.0005319148936	0.1326431107	0.1223946705
200	Costa Rica	Nicaragua	CRI	Americas	NIC	337	0.00296735905	0.1718188576	0.2933032723
201	Costa Rica	Panama	CRI	Americas	PAN	523	0.001912045889	0.15975509	0.2406737295
202	Costa Rica	Panama	CRI	Americas	PAN	523	0.001912045889	0.15975509	0.2406737295
204	Côte d'Ivoire	Ghana	CIV	Africa	GHA	619	0.001615508885	0.1555668362	0.2224020013
205	Côte d'Ivoire	Guinea	CIV	Africa	GIN	975	0.001025641026	0.1452973607	0.1776002597
206	Côte d'Ivoire	Liberia	CIV	Africa	LBR	608	0.001644736842	0.1560019841	0.224300383
207	Côte d'Ivoire	Mali	CIV	Africa	MLI	726	0.001377410468	0.151801504	0.2059753162
209	Croatia	Hungary	HRV	Europe	HUN	328	0.003048780488	0.1726217246	0.2968058703
210	Croatia	Montenegro	HRV	Europe	MNE	394	0.002538071066	0.1673261854	0.2737034846
211	Croatia	Serbia	HRV	Europe	SRB	373	0.002680965147	0.1688738929	0.2804555329
212	Croatia	Slovenia	HRV	Europe	SVN	155	0.006451612903	0.1982779514	0.4087340448
214	Cuba	Mexico	CUB	Americas	MEX	1788	0.0005592841163	0.133531798	0.1262716689
215	Cuba	United States of America	CUB	Americas	USA	1813	0.0005515719801	0.1332846718	0.1251935532
216	Cuba	United States of America	CUB	Americas	USA	1813	0.0005515719801	0.1332846718	0.1251935532
217	Cyprus	Greece	CYP	Asia	GRC	924	0.001082251082	0.1464404985	0.1825873268
218	Cyprus	Turkey	CYP	Asia	TUR	456	0.002192982456	0.1633321641	0.2562791175
220	Czechia	Germany	CZE	Europe	DEU	237	0.004219409283	0.1828802124	0.3415596768
221	Czechia	Germany	CZE	Europe	DEU	523	0.001912045889	0.15975509	0.2406737295
222	Czechia	Poland	CZE	Europe	POL	517	0.001934235977	0.1600501181	0.2419608229
223	Czechia	Slovakia	CZE	Europe	SVK	295	0.003389830508	0.1758403962	0.3108476871
224	Denmark	Germany	DNK	Europe	DEU	342	0.002923976608	0.1713851648	0.2914112391
225	Denmark	Germany	DNK	Europe	DEU	662	0.001510574018	0.1539582934	0.2153845524
226	Denmark	Sweden	DNK	Europe	SWE	552	0.001811594203	0.1583895446	0.2347163843
227	Djibouti	Eritrea	DJI	Africa	ERI	613	0.00163132137	0.1558029202	0.2234319444
228	Djibouti	Ethiopia	DJI	Africa	ETH	549	0.001821493625	0.1585263783	0.2353133367
229	Djibouti	Ethiopia	DJI	Africa	ETH	549	0.001821493625	0.1585263783	0.2353133367
230	Djibouti	Somalia	DJI	Africa	SOM	1085	0.0009216589862	0.1430751226	0.1679054958
231	Dominica	Guadeloupe	DMA	Americas	GLP	84	0.0119047619	0.2256920214	0.5283310087
232	Dominican Republic	Haiti	DOM	Americas	HTI	246	0.00406504065	0.1816421034	0.336158287
233	Dominican Republic	Puerto Rico	DOM	Americas	PRI	400	0.0025	0.1669041003	0.2718620912
