	src	trg	weighted	log-weight	norm-log-weight	iso_code_src	iso_code_trg
226	Tajikistan	United Arab Emirates	6	1.791759469	0.2582785568	TJK	ARE
227	Tanzania, United Republic of	United Arab Emirates	2	0.6931471806	0.09991578476	TZA	ARE
228	Thailand	United Arab Emirates	18	2.890371758	0.4166413289	THA	ARE
229	Tunisia	United Arab Emirates	4	1.386294361	0.1998315695	TUN	ARE
230	Turkey	United Arab Emirates	16	2.772588722	0.399663139	TUR	ARE
231	Turkmenistan	United Arab Emirates	4	1.386294361	0.1998315695	TKM	ARE
232	Uganda	United Arab Emirates	2	0.6931471806	0.09991578476	UGA	ARE
233	Ukraine	United Arab Emirates	20	2.995732274	0.4318288373	UKR	ARE
234	Albania	Austria	2	0.6931471806	0.09991578476	ALB	AUT
235	Algeria	Austria	2	0.6931471806	0.09991578476	DZA	AUT
236	Armenia	Austria	6	1.791759469	0.2582785568	ARM	AUT
238	Albania	Germany	4	1.386294361	0.1998315695	ALB	DEU
239	Algeria	Germany	6	1.791759469	0.2582785568	DZA	DEU
240	Angola	Germany	2	0.6931471806	0.09991578476	AGO	DEU
242	Argentina	Germany	2	0.6931471806	0.09991578476	ARG	DEU
243	Austria	Germany	134	4.8978398	0.7060138467	AUT	DEU
244	Azerbaijan	Germany	6	1.791759469	0.2582785568	AZE	DEU
245	Bahrain	Germany	2	0.6931471806	0.09991578476	BHR	DEU
247	Belarus	Germany	8	2.079441542	0.2997473543	BLR	DEU
248	Belgium	Germany	30	3.401197382	0.4902758246	BEL	DEU
249	Bosnia and Herzegovina	Germany	8	2.079441542	0.2997473543	BIH	DEU
250	Brazil	Germany	16	2.772588722	0.399663139	BRA	DEU
251	Bulgaria	Germany	22	3.091042453	0.4455676098	BGR	DEU
252	Canada	Germany	38	3.63758616	0.5243507959	CAN	DEU
253	Cabo Verde	Germany	10	2.302585093	0.3319130525	CPV	DEU
254	China	Germany	38	3.63758616	0.5243507959	CHN	DEU
255	Colombia	Germany	4	1.386294361	0.1998315695	COL	DEU
256	Croatia	Germany	112	4.718498871	0.6801622092	HRV	DEU
257	Cuba	Germany	8	2.079441542	0.2997473543	CUB	DEU
258	Cyprus	Germany	16	2.772588722	0.399663139	CYP	DEU
259	Czechia	Germany	28	3.33220451	0.4803306397	CZE	DEU
260	Denmark	Germany	53	3.970291914	0.5723096673	DNK	DEU
261	Dominican Republic	Germany	14	2.63905733	0.3804148549	DOM	DEU
