src,trg,kmdist,Proximity_1_over_dist
CUB,FIN,8686,0.0001151277918
CUB,SWD,8376,0.0001193887297
CUB,NOR,7975,0.0001253918495
CUB,DEN,8207,0.0001218472036
CUB,ICE,6286,0.000159083678
CUB,CAP,6121,0.000163371998
CUB,STP,9889,0.0001011224593
CUB,GNB,7150,0.0001398601399
CUB,EQG,10152,0.00009850275808
CUB,GAM,6973,0.0001434102969
CUB,MLI,7894,0.00012667849
CUB,SEN,6851,0.0001459640928
CUB,BEN,9228,0.0001083658431
CUB,MAA,6867,0.0001456239988
CUB,NIR,8883,0.0001125745807
CUB,CDI,8410,0.0001189060642
CUB,GUI,7435,0.0001344989913
CUB,BFO,8555,0.0001168907072
CUB,LBR,7850,0.000127388535
CUB,SIE,7510,0.0001331557923
CUB,GHA,9016,0.0001109139308
CUB,TOG,9076,0.0001101806963
CUB,CAO,10257,0.00009749439407
CUB,NIG,9296,0.0001075731497
CUB,GAB,10187,0.00009816432708
CUB,CEN,10943,0.00009138261903
CUB,CHA,10211,0.00009793360102
CUB,CON,10960,0.00009124087591
CUB,DRC,10960,0.00009124087591
CUB,UGA,12524,0.00007984669435
CUB,KEN,13009,0.00007686985933
CUB,TAZ,13495,0.00007410151908
CUB,ZAN,13485,0.00007415647015
CUB,BUI,12345,0.00008100445525
CUB,RWA,12341,0.00008103071064
CUB,SOM,13691,0.00007304068366
CUB,DJI,12920,0.0000773993808
CUB,ETH,12664,0.00007896399242
CUB,ERI,12318,0.00008118201007
CUB,ANG,10912,0.00009164222874
CUB,MZM,13481,0.00007417847341
CUB,ZAM,12750,0.00007843137255
CUB,ZIM,13071,0.00007650524061
CUB,MAW,13201,0.00007575183698
CUB,SAF,13049,0.00007663422484
CUB,TRA,13049,0.00007663422484
CUB,OFS,12950,0.00007722007722
CUB,NAM,11862,0.00008430281571
CUB,LES,13039,0.00007669299793
CUB,BOT,12792,0.00007817385866
CUB,SWA,13350,0.00007490636704
CUB,MAG,14796,0.00006758583401
CUB,COM,14111,0.00007086669974
CUB,MAS,15868,0.00006301991429
CUB,SEY,15050,0.00006644518272
CUB,MOR,7328,0.0001364628821
CUB,ALG,8114,0.0001232437762
CUB,TUN,8723,0.0001146394589
CUB,LIB,9170,0.0001090512541
CUB,SUD,11762,0.0000850195545
CUB,IRN,11907,0.00008398421097
