,src,trg,iso_code_src,region,days_since_100_cases_in_China_2019,weeks_since_100_cases,iso_code_trg,kmdist,proximity,log-prox,Norm_prox,norm_log_prox
143,Central African Republic,South Sudan,CAF,Africa,112.0,16,SSD,1444.0,0.0006925207756232687,0.1374537888712468,0.012460003690840368,0.012460003690840368
144,Central African Republic,Sudan,CAF,Africa,112.0,16,SDN,1961.0,0.0005099439061703213,0.13190506831041257,0.008803317852871926,0.008803317852871926
145,Central African Republic,Sudan,CAF,Africa,112.0,16,SDN,1961.0,0.0005099439061703213,0.13190506831041257,0.008803317852871926,0.008803317852871926
146,Chad,Cameroon,TCD,Africa,106.0,15,CMR,1065.0,0.0009389671361502347,0.14345699643936355,0.01739588039339314,0.01739588039339314
147,Chad,Central African Republic,TCD,Africa,106.0,15,CAF,974.0,0.001026694045174538,0.14531902772192534,0.019152892367577456,0.019152892367577456
148,Chad,Libya,TCD,Africa,106.0,15,LBY,2243.0,0.00044583147570218456,0.1296080601083177,0.007519261349805472,0.007519261349805472
149,Chad,Niger,TCD,Africa,106.0,15,NER,1397.0,0.0007158196134574087,0.13808183204679822,0.012926637446827621,0.012926637446827621
150,Chad,Nigeria,TCD,Africa,106.0,15,NGA,1441.0,0.0006939625260235947,0.13749309345381333,0.012488879354480313,0.012488879354480313
151,Chad,Sudan,TCD,Africa,106.0,15,SDN,1938.0,0.0005159958720330237,0.1321106616233168,0.00892452782831033,0.00892452782831033
152,Chad,Sudan,TCD,Africa,106.0,15,SDN,1938.0,0.0005159958720330237,0.1321106616233168,0.00892452782831033,0.00892452782831033
153,Chile,Argentina,CHL,Americas,59.0,8,ARG,1131.0,0.0008841732979664014,0.14223016230907937,0.016298458509147313,0.016298458509147313
154,Chile,Bolivia,CHL,Americas,59.0,8,BOL,1908.0,0.0005241090146750524,0.13238351073275065,0.009087019462050221,0.009087019462050221
155,Chile,Peru,CHL,Americas,59.0,8,PER,2425.0,0.0004123711340206186,0.1283106258042048,0.006849110974639248,0.006849110974639248
156,China,Afghanistan,CHN,Asia,1.0,0,AFG,4199.0,0.00023815194093831864,0.1198666840723466,0.0033598143405411574,0.0033598143405411574
157,China,Bhutan,CHN,Asia,1.0,0,BTN,2806.0,0.0003563791874554526,0.12595227380626867,0.005727693137546288,0.005727693137546288
158,China,Hong Kong,CHN,Asia,1.0,0,HKG,1973.0,0.0005068423720223011,0.1317990082528223,0.008741199710365579,0.008741199710365579
159,China,India,CHN,Asia,1.0,0,IND,3780.0,0.00026455026455026457,0.12139635985273596,0.003888525213868887,0.003888525213868887
160,China,India,CHN,Asia,1.0,0,IND,3780.0,0.00026455026455026457,0.12139635985273596,0.003888525213868887,0.003888525213868887
161,China,Kazakhstan,CHN,Asia,1.0,0,KAZ,3280.0,0.0003048780487804878,0.12352390933480442,0.004696218093657849,0.004696218093657849
162,China,Korea (Democratic People's Republic of),CHN,Asia,1.0,0,PRK,820.0,0.0012195121951219512,0.14904674900490525,0.023014692607271507,0.023014692607271507
163,China,Kyrgyzstan,CHN,Asia,1.0,0,KGZ,3497.0,0.00028595939376608524,0.12255411495942849,0.004317311509971436,0.004317311509971436
