	src	trg	weighted	log-weight	norm-log-weight	iso_code_src	iso_code_trg
178	Côte d'Ivoire	Turkey	1	0	0	CIV	TUR
179	Croatia	Turkey	2	0.6931471806	0.1109039882	HRV	TUR
180	Cyprus	Turkey	14	2.63905733	0.4222508454	CYP	TUR
181	Czechia	Turkey	2	0.6931471806	0.1109039882	CZE	TUR
182	Denmark	Turkey	10	2.302585093	0.3684150743	DNK	TUR
183	Djibouti	Turkey	1	0	0	DJI	TUR
184	Egypt	Turkey	8	2.079441542	0.3327119646	EGY	TUR
185	Estonia	Turkey	1	0	0	EST	TUR
186	Ethiopia	Turkey	1	0	0	ETH	TUR
187	Finland	Turkey	5	1.609437912	0.2575110861	FIN	TUR
188	France	Turkey	26	3.258096538	0.5212975111	FRA	TUR
189	Gabon	Turkey	1	0	0	GAB	TUR
190	Georgia	Turkey	5	1.609437912	0.2575110861	GEO	TUR
191	Germany	Turkey	128	4.852030264	0.7763279174	DEU	TUR
192	Ghana	Turkey	1	0	0	GHA	TUR
193	Greece	Turkey	6	1.791759469	0.2866826507	GRC	TUR
194	Hong Kong	Turkey	1	0	0	HKG	TUR
195	Hungary	Turkey	2	0.6931471806	0.1109039882	HUN	TUR
196	India	Turkey	4	1.386294361	0.2218079764	IND	TUR
197	Iran (Islamic Republic of)	Turkey	14	2.63905733	0.4222508454	IRN	TUR
198	Iraq	Turkey	15	2.708050201	0.4332897485	IRQ	TUR
199	Ireland	Turkey	2	0.6931471806	0.1109039882	IRL	TUR
200	Israel	Turkey	3	1.098612289	0.1757786625	ISR	TUR
201	Italy	Turkey	12	2.48490665	0.3975866389	ITA	TUR
202	Japan	Turkey	4	1.386294361	0.2218079764	JPN	TUR
203	Jordan	Turkey	3	1.098612289	0.1757786625	JOR	TUR
204	Kazakhstan	Turkey	7	1.945910149	0.3113468572	KAZ	TUR
205	Kenya	Turkey	3	1.098612289	0.1757786625	KEN	TUR
206	Kuwait	Turkey	6	1.791759469	0.2866826507	KWT	TUR
207	Kyrgyzstan	Turkey	5	1.609437912	0.2575110861	KGZ	TUR
208	Latvia	Turkey	2	0.6931471806	0.1109039882	LVA	TUR
209	Lebanon	Turkey	3	1.098612289	0.1757786625	LBN	TUR
210	Libya	Turkey	6	1.791759469	0.2866826507	LBY	TUR
211	Lithuania	Turkey	1	0	0	LTU	TUR
212	Luxembourg	Turkey	3	1.098612289	0.1757786625	LUX	TUR
213	North Macedonia	Turkey	2	0.6931471806	0.1109039882	MKD	TUR
214	Malaysia	Turkey	2	0.6931471806	0.1109039882	MYS	TUR
215	Maldives	Turkey	1	0	0	MDV	TUR
216	Malta	Turkey	4	1.386294361	0.2218079764	MLT	TUR
217	Moldova, Republic of	Turkey	2	0.6931471806	0.1109039882	MDA	TUR
218	Montenegro	Turkey	1	0	0	MNE	TUR
219	Morocco	Turkey	3	1.098612289	0.1757786625	MAR	TUR
220	Nepal	Turkey	1	0	0	NPL	TUR
221	Netherlands	Turkey	24	3.17805383	0.5084906271	NLD	TUR
222	Nigeria	Turkey	1	0	0	NGA	TUR
223	Norway	Turkey	7	1.945910149	0.3113468572	NOR	TUR
224	Oman	Turkey	2	0.6931471806	0.1109039882	OMN	TUR
225	Pakistan	Turkey	3	1.098612289	0.1757786625	PAK	TUR
226	Poland	Turkey	2	0.6931471806	0.1109039882	POL	TUR
227	Portugal	Turkey	2	0.6931471806	0.1109039882	PRT	TUR
228	Qatar	Turkey	4	1.386294361	0.2218079764	QAT	TUR
229	Romania	Turkey	4	1.386294361	0.2218079764	ROU	TUR
230	Russian Federation	Turkey	32	3.465735903	0.554519941	RUS	TUR
231	Rwanda	Turkey	1	0	0	RWA	TUR
232	Saudi Arabia	Turkey	20	2.995732274	0.4793190625	SAU	TUR
233	Senegal	Turkey	1	0	0	SEN	TUR
234	Serbia	Turkey	6	1.791759469	0.2866826507	SRB	TUR
235	Singapore	Turkey	3	1.098612289	0.1757786625	SGP	TUR
236	Slovenia	Turkey	2	0.6931471806	0.1109039882	SVN	TUR
