,src,trg,weighted,log-weight,norm-log-weight,iso_code_src,region,iso_code_trg,days_to_first_100_cases,weeks_since_100_cases
189,Gabon,Turkey,1,0.0,0.0,GAB,Africa,TUR,61.0,8
190,Georgia,Turkey,5,1.6094379124341003,0.25751108605227985,GEO,Asia,TUR,61.0,8
191,Germany,Turkey,128,4.852030263919617,0.7763279174471605,DEU,Europe,TUR,61.0,8
192,Ghana,Turkey,1,0.0,0.0,GHA,Africa,TUR,61.0,8
193,Greece,Turkey,6,1.791759469228055,0.28668265069483706,GRC,Europe,TUR,61.0,8
194,Hong Kong,Turkey,1,0.0,0.0,HKG,Asia,TUR,61.0,8
195,Hungary,Turkey,2,0.6931471805599453,0.11090398820673722,HUN,Europe,TUR,61.0,8
196,India,Turkey,4,1.3862943611198906,0.22180797641347444,IND,Asia,TUR,61.0,8
197,Iran (Islamic Republic of),Turkey,14,2.6390573296152584,0.4222508453747394,IRN,Asia,TUR,61.0,8
198,Iraq,Turkey,15,2.70805020110221,0.4332897485403797,IRQ,Asia,TUR,61.0,8
199,Ireland,Turkey,2,0.6931471805599453,0.11090398820673722,IRL,Europe,TUR,61.0,8
200,Israel,Turkey,3,1.0986122886681098,0.17577866248809984,ISR,Asia,TUR,61.0,8
201,Italy,Turkey,12,2.4849066497880004,0.3975866389015743,ITA,Europe,TUR,61.0,8
202,Japan,Turkey,4,1.3862943611198906,0.22180797641347444,JPN,Asia,TUR,61.0,8
203,Jordan,Turkey,3,1.0986122886681098,0.17577866248809984,JOR,Asia,TUR,61.0,8
204,Kazakhstan,Turkey,7,1.9459101490553132,0.3113468571680022,KAZ,Asia,TUR,61.0,8
205,Kenya,Turkey,3,1.0986122886681098,0.17577866248809984,KEN,Africa,TUR,61.0,8
206,Kuwait,Turkey,6,1.791759469228055,0.28668265069483706,KWT,Asia,TUR,61.0,8
207,Kyrgyzstan,Turkey,5,1.6094379124341003,0.25751108605227985,KGZ,Asia,TUR,61.0,8
208,Latvia,Turkey,2,0.6931471805599453,0.11090398820673722,LVA,Europe,TUR,61.0,8
209,Lebanon,Turkey,3,1.0986122886681098,0.17577866248809984,LBN,Asia,TUR,61.0,8
210,Libya,Turkey,6,1.791759469228055,0.28668265069483706,LBY,Africa,TUR,61.0,8
211,Lithuania,Turkey,1,0.0,0.0,LTU,Europe,TUR,61.0,8
212,Luxembourg,Turkey,3,1.0986122886681098,0.17577866248809984,LUX,Europe,TUR,61.0,8
213,North Macedonia,Turkey,2,0.6931471805599453,0.11090398820673722,MKD,Europe,TUR,61.0,8
214,Malaysia,Turkey,2,0.6931471805599453,0.11090398820673722,MYS,Asia,TUR,61.0,8
215,Maldives,Turkey,1,0.0,0.0,MDV,Asia,TUR,61.0,8
216,Malta,Turkey,4,1.3862943611198906,0.22180797641347444,MLT,Europe,TUR,61.0,8
217,"Moldova, Republic of",Turkey,2,0.6931471805599453,0.11090398820673722,MDA,Europe,TUR,61.0,8
218,Montenegro,Turkey,1,0.0,0.0,MNE,Europe,TUR,61.0,8
