,Country,Neighbour,iso-alpha-3,region
626,Seychelles,Madagascar,SYC,Africa
627,Seychelles,Somalia,SYC,Africa
628,Sierra Leone,Guinea,SLE,Africa
629,Sierra Leone,Liberia,SLE,Africa
630,Singapore,Indonesia,SGP,Asia
632,Slovakia,Austria,SVK,Europe
633,Slovakia,Czechia,SVK,Europe
634,Slovakia,Hungary,SVK,Europe
635,Slovakia,Poland,SVK,Europe
636,Slovakia,Ukraine,SVK,Europe
637,Slovenia,Austria,SVN,Europe
638,Slovenia,Croatia,SVN,Europe
639,Slovenia,Hungary,SVN,Europe
640,Slovenia,Italy,SVN,Europe
641,Somalia,Djibouti,SOM,Africa
642,Somalia,Ethiopia,SOM,Africa
643,Somalia,Kenya,SOM,Africa
644,Solomon Islands,Nauru,SLB,Oceania
645,South Africa,Botswana,ZAF,Africa
646,South Africa,Lesotho,ZAF,Africa
647,South Africa,Mozambique,ZAF,Africa
648,South Africa,Namibia,ZAF,Africa
649,South Africa,Swaziland,ZAF,Africa
650,South Africa,Zimbabwe,ZAF,Africa
653,South Sudan,Central African Republic,SSD,Africa
654,South Sudan,"Congo, Democratic Republic of the",SSD,Africa
655,South Sudan,Eritrea,SSD,Africa
656,South Sudan,Ethiopia,SSD,Africa
657,South Sudan,Kenya,SSD,Africa
658,South Sudan,Sudan,SSD,Africa
659,South Sudan,Uganda,SSD,Africa
661,Spain,France,ESP,Europe
662,Spain,Gibraltar,ESP,Europe
663,Spain,Morocco,ESP,Europe
664,Spain,Portugal,ESP,Europe
665,Sri Lanka,India,LKA,Asia
666,Sri Lanka,Indonesia,LKA,Asia
667,Sudan,Central African Republic,SDN,Africa
668,Sudan,Chad,SDN,Africa
669,Sudan,Egypt,SDN,Africa
670,Sudan,Eritrea,SDN,Africa
671,Sudan,Ethiopia,SDN,Africa
672,Sudan,Libya,SDN,Africa
673,Sudan,South Sudan,SDN,Africa
674,Suriname,Brazil,SUR,Americas
675,Suriname,French Guiana,SUR,Americas
676,Suriname,Guyana,SUR,Americas
678,Swaziland,Mozambique,SWZ,Africa
679,Swaziland,South Africa,SWZ,Africa
680,Sweden,Denmark,SWE,Europe
681,Sweden,Finland,SWE,Europe
682,Sweden,Norway,SWE,Europe
683,Switzerland,Austria,CHE,Europe
684,Switzerland,France,CHE,Europe
685,Switzerland,Germany,CHE,Europe
686,Switzerland,Italy,CHE,Europe
