,src,trg,iso_code_src,region,iso_code_trg,days_to_first_100_cases,weeks_since_100_cases
372,Burundi,"Tanzania, United Republic of",BDI,Africa,TZA,91.0,13
373,"Congo, Democratic Republic of the","Tanzania, United Republic of",COD,Africa,TZA,91.0,13
374,Kenya,"Tanzania, United Republic of",KEN,Africa,TZA,91.0,13
375,Malawi,"Tanzania, United Republic of",MWI,Africa,TZA,91.0,13
376,Mozambique,"Tanzania, United Republic of",MOZ,Africa,TZA,91.0,13
377,Rwanda,"Tanzania, United Republic of",RWA,Africa,TZA,91.0,13
378,Uganda,"Tanzania, United Republic of",UGA,Africa,TZA,91.0,13
379,Zambia,"Tanzania, United Republic of",ZMB,Africa,TZA,91.0,13
380,Cabo Verde,Senegal,CPV,Africa,SEN,69.0,9
381,Gambia,Senegal,GMB,Africa,SEN,69.0,9
382,Guinea,Senegal,GIN,Africa,SEN,69.0,9
383,Guinea-Bissau,Senegal,GNB,Africa,SEN,69.0,9
384,Mali,Senegal,MLI,Africa,SEN,69.0,9
385,Mauritania,Senegal,MRT,Africa,SEN,69.0,9
386,Cambodia,Thailand,KHM,Asia,THA,58.0,8
387,Lao People's Democratic Republic,Thailand,LAO,Asia,THA,58.0,8
388,Malaysia,Thailand,MYS,Asia,THA,58.0,8
389,Myanmar,Thailand,MMR,Asia,THA,58.0,8
390,Cambodia,Viet Nam,KHM,Asia,VNM,65.0,9
391,China,Viet Nam,CHN,Asia,VNM,65.0,9
392,Lao People's Democratic Republic,Viet Nam,LAO,Asia,VNM,65.0,9
393,Cameroon,Central African Republic,CMR,Africa,CAF,112.0,16
394,Chad,Central African Republic,TCD,Africa,CAF,112.0,16
395,Congo,Central African Republic,COG,Africa,CAF,112.0,16
396,"Congo, Democratic Republic of the",Central African Republic,COD,Africa,CAF,112.0,16
397,South Sudan,Central African Republic,SSD,Africa,CAF,112.0,16
398,Sudan,Central African Republic,SDN,Africa,CAF,112.0,16
399,Cameroon,Chad,CMR,Africa,TCD,106.0,15
400,Central African Republic,Chad,CAF,Africa,TCD,106.0,15
401,Libya,Chad,LBY,Africa,TCD,106.0,15
402,Niger,Chad,NER,Africa,TCD,106.0,15
403,Nigeria,Chad,NGA,Africa,TCD,106.0,15
404,Sudan,Chad,SDN,Africa,TCD,106.0,15
405,Cameroon,Equatorial Guinea,CMR,Africa,GNQ,98.0,14
406,Gabon,Equatorial Guinea,GAB,Africa,GNQ,98.0,14
407,Cameroon,Gabon,CMR,Africa,GAB,91.0,13
408,Congo,Gabon,COG,Africa,GAB,91.0,13
409,Equatorial Guinea,Gabon,GNQ,Africa,GAB,91.0,13
410,Sao Tome and Principe,Gabon,STP,Africa,GAB,91.0,13
411,Cayman Islands,Cuba,CYM,Americas,CUB,71.0,10
412,Haiti,Cuba,HTI,Americas,CUB,71.0,10
413,Jamaica,Cuba,JAM,Americas,CUB,71.0,10
414,Cayman Islands,Jamaica,CYM,Americas,JAM,88.0,12
415,Central African Republic,Cameroon,CAF,Africa,CMR,73.0,10
416,Chad,Cameroon,TCD,Africa,CMR,73.0,10
417,Congo,Cameroon,COG,Africa,CMR,73.0,10
418,Equatorial Guinea,Cameroon,GNQ,Africa,CMR,73.0,10
419,Gabon,Cameroon,GAB,Africa,CMR,73.0,10
420,Nigeria,Cameroon,NGA,Africa,CMR,73.0,10
421,Central African Republic,South Sudan,CAF,Africa,SSD,112.0,16
422,"Congo, Democratic Republic of the",South Sudan,COD,Africa,SSD,112.0,16
423,Eritrea,South Sudan,ERI,Africa,SSD,112.0,16
