,src,trg,iso_code_src,region,iso_code_trg,kmdist,proximity,log-prox,norm-log-prox
271,Fiji,Vanuatu,FJI,Oceania,VUT,1242.0,0.0008051529790660225,0.1403611553233963,0.15606550840888964
273,Finland,Norway,FIN,Europe,NOR,803.0,0.0012453300124533001,0.1495136012919245,0.19599408328277318
274,Finland,Russian Federation,FIN,Europe,RUS,939.0,0.0010649627263045794,0.1460959762958679,0.18108430987191237
275,Finland,Sweden,FIN,Europe,SWE,400.0,0.0025,0.16690410034766703,0.2718620912479792
277,France,Belgium,FRA,Europe,BEL,266.0,0.0037593984962406013,0.17909924977065075,0.32506480214167777
278,France,Germany,FRA,Europe,DEU,909.0,0.0011001100110011,0.14679232865855568,0.1841222253698889
280,France,Italy,FRA,Europe,ITA,1127.0,0.0008873114463176575,0.14230187050858667,0.16453209666816102
281,France,Luxembourg,FRA,Europe,LUX,336.0,0.002976190476190476,0.17190663415246227,0.29368620758482994
282,France,Spain,FRA,Europe,ESP,1012.0,0.0009881422924901185,0.144515272908321,0.174188313568837
283,France,Switzerland,FRA,Europe,CHE,438.0,0.00228310502283105,0.16441368104886364,0.2609973569702169
285,French Guiana,Suriname,GUF,Americas,SUR,330.0,0.0030303030303030303,0.17244076954535698,0.2960164333082403
290,Gambia,Senegal,GMB,Africa,SEN,144.0,0.006944444444444444,0.20121480219092233,0.4215463868160433
292,Georgia,Russian Federation,GEO,Asia,RUS,1751.0,0.0005711022272986865,0.13390569389867146,0.12790283192558427
293,Georgia,Turkey,GEO,Asia,TUR,1033.0,0.000968054211035818,0.14408760013810468,0.17232254301025374
295,Germany,Austria,DEU,Europe,AUT,705.0,0.0014184397163120568,0.15248091473715275,0.20893932190854458
297,Germany,Belgium,DEU,Europe,BEL,676.0,0.0014792899408284023,0.15346383821506743,0.21322743612611755
301,Germany,Czechia,DEU,Europe,CZE,523.0,0.0019120458891013384,0.15975508997539395,0.24067372948053156
303,Germany,Denmark,DEU,Europe,DNK,662.0,0.0015105740181268882,0.1539582933735401,0.21538455236419674
305,Germany,France,DEU,Europe,FRA,415.0,0.0024096385542168677,0.16588483704660195,0.2674154404649292
306,Germany,Luxembourg,DEU,Europe,LUX,574.0,0.0017421602787456446,0.15741513279199884,0.230465403103064
308,Germany,Netherlands,DEU,Europe,NLD,592.0,0.0016891891891891893,0.1566537104442394,0.22714361247707135
310,Germany,Poland,DEU,Europe,POL,524.0,0.0019083969465648854,0.1597063528015264,0.2404611080782743
312,Germany,Switzerland,DEU,Europe,CHE,799.0,0.0012515644555694619,0.14962531697969605,0.1964814555348588
316,Ghana,Togo,GHA,Africa,TGO,154.0,0.006493506493506494,0.1985327397206032,0.4098455876492615
317,Gibraltar,Spain,GIB,Europe,ESP,496.0,0.0020161290322580645,0.1611194339368499,0.24662583345427241
320,Greece,North Macedonia,GRC,Europe,MKD,481.0,0.002079002079002079,0.16192057831950055,0.2501209159248441
321,Greece,Turkey,GRC,Europe,TUR,806.0,0.0012406947890818859,0.1494302878561161,0.19563061904915566
322,Greenland,Iceland,GRL,Americas,ISL,1429.0,0.0006997900629811056,0.13765136151071156,0.1442437281422132
323,Grenada,Trinidad and Tobago,GRD,Americas,TTO,165.0,0.006060606060606061,0.19585011338479313,0.39814232855585996
324,Guadeloupe,Antigua and Barbuda,GLP,Americas,ATG,125.0,0.008,0.2071116448532039,0.4472720261227437
325,Guam,Northern Mariana Islands,GUM,Oceania,MNP,220.0,0.004545454545454545,0.1854039774541508,0.3525698857265153
326,Guam,Palau,GUM,Oceania,PLW,1291.0,0.000774593338497289,0.13960295040195259,0.15275775416704945
329,Guatemala,Honduras,GTM,Americas,HND,345.0,0.002898550724637681,0.17112901496657407,0.290293756430912
330,Guatemala,Mexico,GTM,Americas,MEX,1065.0,0.0009389671361502347,0.14345699643936355,0.16957146345321353
331,Guernsey,France,GGY,Europe,FRA,361.0,0.002770083102493075,0.1698116359475543,0.2845465423004938
332,Guernsey,United Kingdom of Great Britain and Northern Ireland,GGY,Europe,GBR,284.0,0.0035211267605633804,0.1770232891565654,0.31600819048838114
334,Guinea,Guinea-Bissau,GIN,Africa,GNB,315.0,0.0031746031746031746,0.1738352668944562,0.30210008482679646
335,Guinea,Liberia,GIN,Africa,LBR,458.0,0.002183406113537118,0.16321549717314204,0.25577014505780143
