,src,trg,iso_code_src,region,iso_code_trg
246,Ethiopia,Eritrea,ETH,Africa,ERI
247,Ethiopia,Kenya,ETH,Africa,KEN
248,Ethiopia,Somalia,ETH,Africa,SOM
249,Ethiopia,South Sudan,ETH,Africa,SSD
250,Ethiopia,Sudan,ETH,Africa,SDN
251,Falkland Islands (Malvinas),Argentina,FLK,Americas,ARG
252,Faroe Islands,United Kingdom of Great Britain and Northern Ireland,FRO,Europe,GBR
253,Fiji,New Caledonia,FJI,Oceania,NCL
254,Fiji,Samoa,FJI,Oceania,WSM
255,Fiji,Tuvalu,FJI,Oceania,TUV
256,Fiji,Vanuatu,FJI,Oceania,VUT
257,Fiji,Wallis and Futuna,FJI,Oceania,WLF
258,Finland,Norway,FIN,Europe,NOR
259,Finland,Russian Federation,FIN,Europe,RUS
260,Finland,Sweden,FIN,Europe,SWE
262,France,Belgium,FRA,Europe,BEL
263,France,Germany,FRA,Europe,DEU
264,France,Italy,FRA,Europe,ITA
265,France,Luxembourg,FRA,Europe,LUX
267,France,Spain,FRA,Europe,ESP
268,France,Switzerland,FRA,Europe,CHE
269,French Guiana,Brazil,GUF,Americas,BRA
270,French Guiana,Suriname,GUF,Americas,SUR
271,French Polynesia,Cook Islands,PYF,Oceania,COK
274,Gabon,Cameroon,GAB,Africa,CMR
275,Gabon,Congo,GAB,Africa,COG
276,Gabon,Equatorial Guinea,GAB,Africa,GNQ
277,Gambia,Senegal,GMB,Africa,SEN
278,Georgia,Azerbaijan,GEO,Asia,AZE
279,Georgia,Russian Federation,GEO,Asia,RUS
280,Georgia,Turkey,GEO,Asia,TUR
281,Germany,Austria,DEU,Europe,AUT
282,Germany,Belgium,DEU,Europe,BEL
283,Germany,Czechia,DEU,Europe,CZE
284,Germany,Denmark,DEU,Europe,DNK
285,Germany,France,DEU,Europe,FRA
286,Germany,Luxembourg,DEU,Europe,LUX
287,Germany,Netherlands,DEU,Europe,NLD
288,Germany,Poland,DEU,Europe,POL
289,Germany,Switzerland,DEU,Europe,CHE
290,Ghana,Burkina Faso,GHA,Africa,BFA
291,Ghana,Côte d'Ivoire,GHA,Africa,CIV
292,Ghana,Togo,GHA,Africa,TGO
293,Gibraltar,Spain,GIB,Europe,ESP
294,Greece,Albania,GRC,Europe,ALB
295,Greece,Bulgaria,GRC,Europe,BGR
296,Greece,North Macedonia,GRC,Europe,MKD
297,Greece,Turkey,GRC,Europe,TUR
298,Greenland,Iceland,GRL,Americas,ISL
299,Grenada,Trinidad and Tobago,GRD,Americas,TTO
300,Guadeloupe,Antigua and Barbuda,GLP,Americas,ATG
302,Guam,Northern Mariana Islands,GUM,Oceania,MNP
303,Guam,Palau,GUM,Oceania,PLW
304,Guatemala,Belize,GTM,Americas,BLZ
305,Guatemala,El Salvador,GTM,Americas,SLV
306,Guatemala,Honduras,GTM,Americas,HND
307,Guatemala,Mexico,GTM,Americas,MEX
308,Guernsey,France,GGY,Europe,FRA
309,Guernsey,United Kingdom of Great Britain and Northern Ireland,GGY,Europe,GBR
310,Guinea,Côte d'Ivoire,GIN,Africa,CIV
311,Guinea,Guinea-Bissau,GIN,Africa,GNB
312,Guinea,Liberia,GIN,Africa,LBR
313,Guinea,Mali,GIN,Africa,MLI
314,Guinea,Senegal,GIN,Africa,SEN
315,Guinea,Sierra Leone,GIN,Africa,SLE
316,Guinea-Bissau,Guinea,GNB,Africa,GIN
317,Guinea-Bissau,Senegal,GNB,Africa,SEN
318,Guyana,Brazil,GUY,Americas,BRA
319,Guyana,Suriname,GUY,Americas,SUR
320,Guyana,Venezuela (Bolivarian Republic of),GUY,Americas,VEN
321,Haiti,Cuba,HTI,Americas,CUB
322,Haiti,Dominican Republic,HTI,Americas,DOM
325,Honduras,El Salvador,HND,Americas,SLV
326,Honduras,Guatemala,HND,Americas,GTM
327,Honduras,Nicaragua,HND,Americas,NIC
328,Hong Kong,China,HKG,Asia,CHN
329,Hungary,Austria,HUN,Europe,AUT
330,Hungary,Croatia,HUN,Europe,HRV
331,Hungary,Romania,HUN,Europe,ROU
332,Hungary,Serbia,HUN,Europe,SRB
333,Hungary,Slovakia,HUN,Europe,SVK
334,Hungary,Slovenia,HUN,Europe,SVN
335,Hungary,Ukraine,HUN,Europe,UKR
336,Iceland,Faroe Islands,ISL,Europe,FRO
337,India,Bangladesh,IND,Asia,BGD
338,India,Bhutan,IND,Asia,BTN
339,India,China,IND,Asia,CHN
340,India,Myanmar,IND,Asia,MMR
341,India,Nepal,IND,Asia,NPL
342,India,Pakistan,IND,Asia,PAK
343,Indonesia,East Timor,IDN,Asia,TLS
344,Indonesia,Malaysia,IDN,Asia,MYS
345,Indonesia,Papua New Guinea,IDN,Asia,PNG
346,Iran (Islamic Republic of),Afghanistan,IRN,Asia,AFG
347,Iran (Islamic Republic of),Armenia,IRN,Asia,ARM
348,Iran (Islamic Republic of),Azerbaijan,IRN,Asia,AZE
349,Iran (Islamic Republic of),Iraq,IRN,Asia,IRQ
350,Iran (Islamic Republic of),Pakistan,IRN,Asia,PAK
351,Iran (Islamic Republic of),Turkey,IRN,Asia,TUR
352,Iran (Islamic Republic of),Turkmenistan,IRN,Asia,TKM
353,Iraq,Iran (Islamic Republic of),IRQ,Asia,IRN
354,Iraq,Jordan,IRQ,Asia,JOR
355,Iraq,Kuwait,IRQ,Asia,KWT
356,Iraq,Saudi Arabia,IRQ,Asia,SAU
358,Iraq,Turkey,IRQ,Asia,TUR
359,Ireland,United Kingdom of Great Britain and Northern Ireland,IRL,Europe,GBR
360,Isle of Man,Ireland,IMN,Europe,IRL
361,Isle of Man,United Kingdom of Great Britain and Northern Ireland,IMN,Europe,GBR
362,Israel,Egypt,ISR,Asia,EGY
363,Israel,Jordan,ISR,Asia,JOR
364,Israel,Lebanon,ISR,Asia,LBN
367,Italy,Austria,ITA,Europe,AUT
368,Italy,France,ITA,Europe,FRA
370,Italy,Slovenia,ITA,Europe,SVN
371,Italy,Switzerland,ITA,Europe,CHE
373,Jamaica,Cuba,JAM,Americas,CUB
374,Jamaica,Haiti,JAM,Americas,HTI
375,Japan,Korea (Democratic People's Republic of),JPN,Asia,PRK
376,Jersey,France,JEY,Europe,FRA
377,Jersey,United Kingdom of Great Britain and Northern Ireland,JEY,Europe,GBR
378,Jordan,Iraq,JOR,Asia,IRQ
379,Jordan,Israel,JOR,Asia,ISR
380,Jordan,Saudi Arabia,JOR,Asia,SAU
382,Kazakhstan,China,KAZ,Asia,CHN
383,Kazakhstan,Kyrgyzstan,KAZ,Asia,KGZ
384,Kazakhstan,Russian Federation,KAZ,Asia,RUS
385,Kazakhstan,Turkmenistan,KAZ,Asia,TKM
386,Kazakhstan,Uzbekistan,KAZ,Asia,UZB
387,Kenya,Ethiopia,KEN,Africa,ETH
388,Kenya,Somalia,KEN,Africa,SOM
389,Kenya,South Sudan,KEN,Africa,SSD
390,Kenya,"Tanzania, United Republic of",KEN,Africa,TZA
391,Kenya,Uganda,KEN,Africa,UGA
392,Kiribati,United States of America,KIR,Oceania,USA
393,Korea (Democratic People's Republic of),China,PRK,Asia,CHN
394,Korea (Democratic People's Republic of),"Korea, Republic of",PRK,Asia,KOR
395,Korea (Democratic People's Republic of),Russian Federation,PRK,Asia,RUS
396,"Korea, Republic of",Korea (Democratic People's Republic of),KOR,Asia,PRK
397,Kuwait,Iraq,KWT,Asia,IRQ
398,Kuwait,Saudi Arabia,KWT,Asia,SAU
399,Kyrgyzstan,China,KGZ,Asia,CHN
400,Kyrgyzstan,Kazakhstan,KGZ,Asia,KAZ
401,Kyrgyzstan,Tajikistan,KGZ,Asia,TJK
402,Kyrgyzstan,Uzbekistan,KGZ,Asia,UZB
403,Lao People's Democratic Republic,Cambodia,LAO,Asia,KHM
404,Lao People's Democratic Republic,China,LAO,Asia,CHN
405,Lao People's Democratic Republic,Myanmar,LAO,Asia,MMR
406,Lao People's Democratic Republic,Thailand,LAO,Asia,THA
407,Lao People's Democratic Republic,Viet Nam,LAO,Asia,VNM
408,Latvia,Belarus,LVA,Europe,BLR
409,Latvia,Estonia,LVA,Europe,EST
410,Latvia,Lithuania,LVA,Europe,LTU
411,Latvia,Russian Federation,LVA,Europe,RUS
412,Lebanon,Israel,LBN,Asia,ISR
414,Lesotho,South Africa,LSO,Africa,ZAF
415,Liberia,Côte d'Ivoire,LBR,Africa,CIV
416,Liberia,Guinea,LBR,Africa,GIN
417,Liberia,Sierra Leone,LBR,Africa,SLE
418,Libya,Algeria,LBY,Africa,DZA
419,Libya,Chad,LBY,Africa,TCD
420,Libya,Egypt,LBY,Africa,EGY
421,Libya,Niger,LBY,Africa,NER
422,Libya,Sudan,LBY,Africa,SDN
423,Libya,Tunisia,LBY,Africa,TUN
426,Lithuania,Belarus,LTU,Europe,BLR
427,Lithuania,Latvia,LTU,Europe,LVA
428,Lithuania,Poland,LTU,Europe,POL
429,Lithuania,Russian Federation,LTU,Europe,RUS
430,Luxembourg,Belgium,LUX,Europe,BEL
431,Luxembourg,France,LUX,Europe,FRA
432,Luxembourg,Germany,LUX,Europe,DEU
433,Macao,China,MAC,Asia,CHN
434,Madagascar,Mayotte,MDG,Africa,MYT
435,Malawi,Mozambique,MWI,Africa,MOZ
436,Malawi,"Tanzania, United Republic of",MWI,Africa,TZA
437,Malawi,Zambia,MWI,Africa,ZMB
438,Malaysia,Brunei,MYS,Asia,BRN
439,Malaysia,Indonesia,MYS,Asia,IDN
440,Malaysia,Philippines,MYS,Asia,PHL
441,Malaysia,Singapore,MYS,Asia,SGP
442,Malaysia,Thailand,MYS,Asia,THA
443,Maldives,Sri Lanka,MDV,Asia,LKA
444,Mali,Algeria,MLI,Africa,DZA
445,Mali,Burkina Faso,MLI,Africa,BFA
446,Mali,Côte d'Ivoire,MLI,Africa,CIV
447,Mali,Guinea,MLI,Africa,GIN
448,Mali,Mauritania,MLI,Africa,MRT
449,Mali,Niger,MLI,Africa,NER
450,Mali,Senegal,MLI,Africa,SEN
451,Malta,Italy,MLT,Europe,ITA
452,Malta,Tunisia,MLT,Europe,TUN
453,Marshall Islands,Nauru,MHL,Oceania,NRU
454,Martinique,Dominica,MTQ,Americas,DMA
455,Mauritania,Algeria,MRT,Africa,DZA
456,Mauritania,Mali,MRT,Africa,MLI
457,Mauritania,Senegal,MRT,Africa,SEN
458,Mauritania,Western Sahara,MRT,Africa,ESH
459,Mauritius,Réunion,MUS,Africa,REU
460,Mayotte,Mozambique,MYT,Africa,MOZ
461,Mexico,Belize,MEX,Americas,BLZ
462,Mexico,Guatemala,MEX,Americas,GTM
463,Mexico,United States of America,MEX,Americas,USA
464,Micronesia (Federated States of),Papua New Guinea,FSM,Oceania,PNG
465,"Moldova, Republic of",Romania,MDA,Europe,ROU
466,"Moldova, Republic of",Ukraine,MDA,Europe,UKR
468,Mongolia,China,MNG,Asia,CHN
469,Mongolia,Russian Federation,MNG,Asia,RUS
470,Montenegro,Albania,MNE,Europe,ALB
471,Montenegro,Bosnia and Herzegovina,MNE,Europe,BIH
472,Montenegro,Croatia,MNE,Europe,HRV
474,Montenegro,Serbia,MNE,Europe,SRB
477,Morocco,Algeria,MAR,Africa,DZA
478,Morocco,Spain,MAR,Africa,ESP
479,Morocco,Western Sahara,MAR,Africa,ESH
480,Mozambique,Madagascar,MOZ,Africa,MDG
481,Mozambique,Malawi,MOZ,Africa,MWI
482,Mozambique,South Africa,MOZ,Africa,ZAF
483,Mozambique,Swaziland,MOZ,Africa,SWZ
484,Mozambique,"Tanzania, United Republic of",MOZ,Africa,TZA
485,Mozambique,Zambia,MOZ,Africa,ZMB
486,Mozambique,Zimbabwe,MOZ,Africa,ZWE
487,Myanmar,Bangladesh,MMR,Asia,BGD
488,Myanmar,China,MMR,Asia,CHN
489,Myanmar,India,MMR,Asia,IND
490,Myanmar,Lao People's Democratic Republic,MMR,Asia,LAO
491,Myanmar,Thailand,MMR,Asia,THA
492,Namibia,Angola,NAM,Africa,AGO
493,Namibia,Botswana,NAM,Africa,BWA
494,Namibia,South Africa,NAM,Africa,ZAF
495,Namibia,Zambia,NAM,Africa,ZMB
496,Nauru,Micronesia (Federated States of),NRU,Oceania,FSM
497,Nepal,China,NPL,Asia,CHN
498,Nepal,India,NPL,Asia,IND
499,Netherlands,Belgium,NLD,Europe,BEL
500,Netherlands,Germany,NLD,Europe,DEU
501,New Caledonia,Australia,NCL,Oceania,AUS
502,New Caledonia,Vanuatu,NCL,Oceania,VUT
503,New Zealand,Australia,NZL,Oceania,AUS
504,Nicaragua,Costa Rica,NIC,Americas,CRI
505,Nicaragua,Honduras,NIC,Americas,HND
506,Niger,Algeria,NER,Africa,DZA
507,Niger,Benin,NER,Africa,BEN
508,Niger,Burkina Faso,NER,Africa,BFA
509,Niger,Chad,NER,Africa,TCD
510,Niger,Libya,NER,Africa,LBY
511,Niger,Mali,NER,Africa,MLI
512,Niger,Nigeria,NER,Africa,NGA
513,Nigeria,Benin,NGA,Africa,BEN
514,Nigeria,Cameroon,NGA,Africa,CMR
515,Nigeria,Chad,NGA,Africa,TCD
516,Nigeria,Niger,NGA,Africa,NER
517,Niue,Tonga,NIU,Oceania,TON
519,Norfolk Island,New Zealand,NFK,Oceania,NZL
520,North Macedonia,Albania,MKD,Europe,ALB
521,North Macedonia,Bulgaria,MKD,Europe,BGR
522,North Macedonia,Greece,MKD,Europe,GRC
524,North Macedonia,Serbia,MKD,Europe,SRB
525,Northern Mariana Islands,Guam,MNP,Oceania,GUM
526,Norway,Finland,NOR,Europe,FIN
527,Norway,Russian Federation,NOR,Europe,RUS
528,Norway,Sweden,NOR,Europe,SWE
529,Oman,Saudi Arabia,OMN,Asia,SAU
530,Oman,United Arab Emirates,OMN,Asia,ARE
531,Oman,Yemen,OMN,Asia,YEM
532,Pakistan,Afghanistan,PAK,Asia,AFG
533,Pakistan,China,PAK,Asia,CHN
534,Pakistan,India,PAK,Asia,IND
535,Pakistan,Iran (Islamic Republic of),PAK,Asia,IRN
536,Palau,Guam,PLW,Oceania,GUM
537,Palau,Indonesia,PLW,Oceania,IDN
538,Palau,Philippines,PLW,Oceania,PHL
542,Panama,Colombia,PAN,Americas,COL
543,Panama,Costa Rica,PAN,Americas,CRI
544,Papua New Guinea,Australia,PNG,Oceania,AUS
545,Papua New Guinea,Indonesia,PNG,Oceania,IDN
546,Papua New Guinea,Solomon Islands,PNG,Oceania,SLB
547,Paraguay,Argentina,PRY,Americas,ARG
548,Paraguay,Bolivia,PRY,Americas,BOL
549,Paraguay,Brazil,PRY,Americas,BRA
550,Peru,Bolivia,PER,Americas,BOL
551,Peru,Brazil,PER,Americas,BRA
552,Peru,Chile,PER,Americas,CHL
553,Peru,Colombia,PER,Americas,COL
554,Peru,Ecuador,PER,Americas,ECU
555,Philippines,Indonesia,PHL,Asia,IDN
557,Poland,Belarus,POL,Europe,BLR
558,Poland,Czechia,POL,Europe,CZE
559,Poland,Germany,POL,Europe,DEU
560,Poland,Lithuania,POL,Europe,LTU
561,Poland,Russian Federation,POL,Europe,RUS
562,Poland,Slovakia,POL,Europe,SVK
563,Poland,Ukraine,POL,Europe,UKR
564,Portugal,Spain,PRT,Europe,ESP
565,Puerto Rico,Dominican Republic,PRI,Americas,DOM
566,Qatar,Saudi Arabia,QAT,Asia,SAU
567,Réunion,Madagascar,REU,Africa,MDG
568,Romania,Bulgaria,ROU,Europe,BGR
569,Romania,Hungary,ROU,Europe,HUN
570,Romania,"Moldova, Republic of",ROU,Europe,MDA
571,Romania,Serbia,ROU,Europe,SRB
572,Romania,Ukraine,ROU,Europe,UKR
573,Russian Federation,Azerbaijan,RUS,Europe,AZE
574,Russian Federation,Belarus,RUS,Europe,BLR
575,Russian Federation,China,RUS,Europe,CHN
576,Russian Federation,Estonia,RUS,Europe,EST
577,Russian Federation,Finland,RUS,Europe,FIN
578,Russian Federation,Georgia,RUS,Europe,GEO
