,src,iso-alpha-3,region,trg,weights
1186,Bangladesh,BGD,Asia,Pakistan,1
1187,Bangladesh,BGD,Asia,Qatar,1
1188,Bangladesh,BGD,Asia,Saudi Arabia,1
1189,Bangladesh,BGD,Asia,Singapore,1
1190,Bangladesh,BGD,Asia,Sri Lanka,1
1191,Bangladesh,BGD,Asia,Thailand,1
1192,Bangladesh,BGD,Asia,Turkey,1
1193,Bangladesh,BGD,Asia,United Arab Emirates,1
1194,Bangladesh,BGD,Asia,United Kingdom of Great Britain and Northern Ireland,1
1214,Barbados,BRB,Americas,Antigua and Barbuda,1
1215,Barbados,BRB,Americas,Brazil,1
1216,Barbados,BRB,Americas,Canada,1
1217,Barbados,BRB,Americas,Dominica,1
1218,Barbados,BRB,Americas,Germany,1
1219,Barbados,BRB,Americas,Grenada,1
1220,Barbados,BRB,Americas,Guyana,1
1221,Barbados,BRB,Americas,Jamaica,1
1222,Barbados,BRB,Americas,Martinique,1
1223,Barbados,BRB,Americas,Netherlands Antilles,1
1224,Barbados,BRB,Americas,Saint Lucia,1
1225,Barbados,BRB,Americas,Saint Vincent and the Grenadines,1
1226,Barbados,BRB,Americas,Trinidad and Tobago,1
1227,Barbados,BRB,Americas,United Kingdom of Great Britain and Northern Ireland,1
1228,Barbados,BRB,Americas,United States of America,1
1229,Belarus,BLR,Europe,Armenia,1
1230,Belarus,BLR,Europe,Austria,1
1231,Belarus,BLR,Europe,Azerbaijan,1
1232,Belarus,BLR,Europe,Cyprus,1
1233,Belarus,BLR,Europe,Czechia,1
1234,Belarus,BLR,Europe,Finland,1
1235,Belarus,BLR,Europe,France,1
1236,Belarus,BLR,Europe,Georgia,1
1237,Belarus,BLR,Europe,Germany,1
1238,Belarus,BLR,Europe,Hungary,1
1239,Belarus,BLR,Europe,Iran (Islamic Republic of),1
1240,Belarus,BLR,Europe,Israel,1
1241,Belarus,BLR,Europe,Italy,1
1242,Belarus,BLR,Europe,Kazakhstan,1
1243,Belarus,BLR,Europe,Latvia,1
1244,Belarus,BLR,Europe,Lebanon,1
1245,Belarus,BLR,Europe,Lithuania,1
1246,Belarus,BLR,Europe,Netherlands,1
1247,Belarus,BLR,Europe,Poland,1
1248,Belarus,BLR,Europe,Russian Federation,1
1249,Belarus,BLR,Europe,Spain,1
1250,Belarus,BLR,Europe,Sweden,1
1251,Belarus,BLR,Europe,Switzerland,1
1252,Belarus,BLR,Europe,Turkey,1
1253,Belarus,BLR,Europe,Turkmenistan,1
1254,Belarus,BLR,Europe,Ukraine,1
1255,Belarus,BLR,Europe,United Arab Emirates,1
1256,Belarus,BLR,Europe,United Kingdom of Great Britain and Northern Ireland,1
1369,Belgium,BEL,Europe,Algeria,1
1370,Belgium,BEL,Europe,Angola,1
1371,Belgium,BEL,Europe,Austria,1
1372,Belgium,BEL,Europe,Benin,1
1373,Belgium,BEL,Europe,Bulgaria,1
1374,Belgium,BEL,Europe,Burkina Faso,1
1375,Belgium,BEL,Europe,Burundi,1
1376,Belgium,BEL,Europe,Cameroon,1
1377,Belgium,BEL,Europe,Canada,1
1378,Belgium,BEL,Europe,China,1
1379,Belgium,BEL,Europe,"Congo, Democratic Republic of the",1
1380,Belgium,BEL,Europe,Côte d'Ivoire,1
1381,Belgium,BEL,Europe,Croatia,1
1382,Belgium,BEL,Europe,Cyprus,1
1383,Belgium,BEL,Europe,Czechia,1
1384,Belgium,BEL,Europe,Denmark,1
1385,Belgium,BEL,Europe,Egypt,1
