,src,trg,nij,score,region,weeks_since_100_cases
195,Benin,Congo,0.3113468571680022,0.9770569624942086,Africa,15
196,Cameroon,Congo,0.25751108605227985,0.9612792698954348,Africa,10
197,"Congo, Democratic Republic of the",Congo,0.22180797641347444,0.9770799270927172,Africa,10
198,Gabon,Congo,0.28668265069483706,0.9888699159963551,Africa,13
199,Benin,Equatorial Guinea,0.11090398820673722,0.9767082227574342,Africa,15
200,Cameroon,Equatorial Guinea,0.25751108605227985,0.98582004041737,Africa,10
201,Ethiopia,Equatorial Guinea,0.11090398820673722,0.9510008052485903,Africa,13
202,Nigeria,Equatorial Guinea,0.11090398820673722,0.9656818030456803,Africa,10
203,Benin,Gabon,0.17577866248809984,0.9792857215575467,Africa,15
204,Cameroon,Gabon,0.25751108605227985,0.9800959438388392,Africa,10
205,Congo,Gabon,0.28668265069483706,0.9881664678001687,Africa,12
206,Equatorial Guinea,Gabon,0.11090398820673722,0.9891253794068245,Africa,14
207,Benin,Mali,0.17577866248809984,0.973828269596291,Africa,15
208,Burkina Faso,Mali,0.17577866248809984,0.9830769867583647,Africa,9
209,Guinea,Mali,0.11090398820673722,0.9845029969940354,Africa,11
210,Senegal,Mali,0.25751108605227985,0.9712890640182049,Africa,9
211,Chad,Nigeria,0.11090398820673722,0.9826690424607596,Africa,15
212,Côte d'Ivoire,Nigeria,0.22180797641347444,0.93811774087311,Africa,10
213,Gabon,Nigeria,0.11090398820673722,0.9526566927961221,Africa,13
214,Ghana,Nigeria,0.25751108605227985,0.9661717375830902,Africa,9
215,Togo,Nigeria,0.11090398820673722,0.9564350886298132,Africa,14
216,Benin,Togo,0.17577866248809984,0.9836321315171808,Africa,15
217,Burkina Faso,Togo,0.11090398820673722,0.9833062154920041,Africa,9
218,Côte d'Ivoire,Togo,0.25751108605227985,0.9869117868292346,Africa,10
219,Nigeria,Togo,0.11090398820673722,0.9619814055560482,Africa,10
220,Brazil,Argentina,0.5387694669921819,0.9192813594348812,Americas,8
221,Chile,Argentina,0.3684150742590171,0.9483570584632961,Americas,8
222,Paraguay,Argentina,0.22180797641347444,0.9725991010486429,Americas,11
223,Uruguay,Argentina,0.3515573249761997,0.9802323104805137,Americas,9
224,Botswana,Zimbabwe,0.11090398820673722,0.9844982796691459,Africa,23
225,Ethiopia,Zimbabwe,0.22180797641347444,0.9375416133370048,Africa,13
226,Namibia,Zimbabwe,0.11090398820673722,0.9750087447558099,Africa,23
227,South Africa,Zimbabwe,0.3515573249761997,0.9332193294513459,Africa,8
228,Zambia,Zimbabwe,0.3684150742590171,0.9822445180513214,Africa,14
229,Burkina Faso,Niger,0.3113468571680022,0.9955509701056847,Africa,9
230,Burundi,Kenya,0.28668265069483706,0.972091376990692,Africa,21
231,Comoros,Kenya,0.22180797641347444,0.9789952560580085,Africa,19
232,Malawi,Kenya,0.22180797641347444,0.959059057224074,Africa,18
233,Mozambique,Kenya,0.22180797641347444,0.959059057224074,Africa,16
234,Rwanda,Kenya,0.33271196462021163,0.9437614773531159,Africa,11
