level_0,index,country_source,country_dest,source_id,dest_id,cnt,airport_id_source,latitude_source,longitude_source,altitude_source,airport_id_dest,latitude_dest,longitude_dest,altitude_dest
1284,1327,France,Finland,4122.0,1263.0,6,4122,141.3945327893,12.145314303560001,695,1263,180.951599121093,74.88990211486801,537
1285,1329,France,French Guiana,1386.0,2774.0,3,1386,48.7233333,2.3794444,291,2774,4.819809913639999,-52.360401153599994,26
1286,1330,France,Gabon,1382.0,970.0,1,1382,49.012798,2.55,392,970,0.45860001444799997,9.4122800827,39
1287,1331,France,Georgia,1382.0,3973.0,2,1382,49.012798,2.55,392,3973,41.6692008972,44.95470047,1624
1288,1332,France,Germany,77355.0,27256.0,84,77355,2587.671301279619,277.8340180811611,18234,27256,2904.7896438643593,565.5570534782685,30061
1289,1333,France,Greece,30291.0,47042.0,32,30291,1040.0805803265,77.589511778855,8866,47042,812.5184936523874,546.4628982544109,3771
1290,1334,France,Guadeloupe,15688.0,11522.0,7,15688,133.54493104365235,-120.75775805361329,781,11522,66.895802291992,-247.642596249268,115
1291,1335,France,Guernsey,1405.0,498.0,1,1405,48.58769989013672,-2.0799601078033447,219,498,49.43500137329102,-2.601969957351685,336
1292,1336,France,Guinea,1382.0,4162.0,1,1382,49.012798,2.55,392,4162,9.576889999999999,-13.612,72
1293,1337,France,Haiti,1386.0,1897.0,1,1386,48.7233333,2.3794444,291,1897,18.57999992370605,-72.2925033569336,122
1294,1338,France,Hong Kong,1382.0,3077.0,3,1382,49.012798,2.55,392,3077,22.308901000000002,113.915001,28
1295,1339,France,Hungary,5558.0,5956.0,5,5558,194.78053040888673,14.571391194146727,1927,5956,189.71903999999998,77.044372,1980
1296,1340,France,Iceland,2805.0,32.0,4,2805,96.602798,10.0791667,1277,32,127.970001220704,-45.211200714111996,342
1297,1341,France,India,4146.0,9221.0,4,4146,147.03839399999998,7.6499999999999995,1176,9221,60.8530993408,227.67730003370002,3816
1298,1342,France,Iran,1386.0,4330.0,1,1386,48.7233333,2.3794444,291,4330,35.416099548339844,51.152198791503906,3305
1299,1343,France,Ireland,32040.0,11986.0,23,32040,914.30675989453,53.809946654623744,7655,11986,1063.1080869287107,-137.80772969604493,4772
1300,1344,France,Israel,6898.0,7950.0,9,6898,232.42380471130002,24.895905106340003,1654,7950,160.05699157714847,174.43349838256836,675
1301,1345,France,Italy,113169.0,127493.0,149,113169,3900.2383293575904,249.26738099960747,29987,127493,3520.3912627999994,986.5342779000007,13972
1302,1346,France,Japan,4146.0,8630.0,7,4146,147.03839399999998,7.6499999999999995,1176,8630,105.74430034281171,415.4100038828984,202
1303,1347,France,Jersey,1382.0,499.0,1,1382,49.012798,2.55,392,499,49.20790100097656,-2.1955099105834956,277
1304,1348,France,Jordan,1382.0,2170.0,2,1382,49.012798,2.55,392,2170,31.7226009369,35.9931983948,2395
1305,1349,France,Kenya,1382.0,4059.0,2,1382,49.012798,2.55,392,4059,-1.31923997402,36.9277992249,5330
1306,1350,France,Latvia,2736.0,7906.0,3,2736,92.6711994893,9.76586990356,404,7906,113.84719848632812,47.94219970703125,72
1307,1351,France,Lebanon,1382.0,2177.0,2,1382,49.012798,2.55,392,2177,33.820899963378906,35.488399505615234,87
1308,1352,France,Liberia,1382.0,1063.0,2,1382,49.012798,2.55,392,1063,6.23379,-10.3623,31
1309,1353,France,Lithuania,2749.0,7918.0,3,2749,98.46719710888672,4.662780094146728,751,7918,109.268204,50.571602,1296
1310,1354,France,Luxembourg,8026.0,3774.0,7,8026,261.17254208265933,45.94335638887494,744,3774,297.7399998,37.226666400000006,7404
1311,1355,France,Madagascar,2735.0,1836.0,3,2735,92.45206992199999,7.77142410278,466,1836,-37.5938,94.957604,8396
1312,1356,France,Malaysia,1382.0,3304.0,3,1382,49.012798,2.55,392,3304,2.7455799579619997,101.70999908446998,69
1313,1357,France,Mali,2768.0,2088.0,2,2768,97.7361313,4.9294443999999995,683,2088,25.067,-15.89988,2494
1314,1358,France,Malta,8147.0,9636.0,11,8147,277.68325846420004,14.98506945079,2167,9636,215.14498799999998,86.86499999999998,1800
1315,1359,France,Martinique,2768.0,5756.0,4,2768,97.7361313,4.9294443999999995,683,5756,29.18199920654297,-122.00640106201172,32
1316,1360,France,Mauritania,1382.0,1094.0,1,1382,49.012798,2.55,392,1094,18.31,-15.969722199999998,9
1317,1361,France,Mauritius,1382.0,893.0,2,1382,49.012798,2.55,392,893,-20.430201,57.683601,186
1318,1362,France,Mayotte,2739.0,1830.0,3,2739,92.162605222,7.600868502780001,365,1830,-25.609399795532227,90.56220245361328,46
1319,1363,France,Mexico,2764.0,3676.0,4,2764,98.025596,5.1,784,3676,40.472800930800005,-185.9491960835,7338
