,src,iso_code,region,trg,weights,days_since_100_cases_in_China_2019
651,Austria,AUT,Europe,Slovakia,1.0,51 days 00:00:00.000000000
652,Austria,AUT,Europe,Slovenia,1.0,51 days 00:00:00.000000000
653,Austria,AUT,Europe,Spain,1.0,51 days 00:00:00.000000000
654,Austria,AUT,Europe,Sweden,1.0,51 days 00:00:00.000000000
655,Austria,AUT,Europe,Switzerland,1.0,51 days 00:00:00.000000000
656,Austria,AUT,Europe,Taiwan,1.0,51 days 00:00:00.000000000
657,Austria,AUT,Europe,Thailand,1.0,51 days 00:00:00.000000000
658,Austria,AUT,Europe,Tunisia,1.0,51 days 00:00:00.000000000
659,Austria,AUT,Europe,Turkey,1.0,51 days 00:00:00.000000000
660,Austria,AUT,Europe,Ukraine,1.0,51 days 00:00:00.000000000
661,Austria,AUT,Europe,United Arab Emirates,1.0,51 days 00:00:00.000000000
662,Austria,AUT,Europe,United Kingdom of Great Britain and Northern Ireland,1.0,51 days 00:00:00.000000000
663,Austria,AUT,Europe,United States of America,1.0,51 days 00:00:00.000000000
1012,Azerbaijan,AZE,Asia,Afghanistan,1.0,69 days 00:00:00.000000000
1013,Azerbaijan,AZE,Asia,Austria,1.0,69 days 00:00:00.000000000
1014,Azerbaijan,AZE,Asia,Belarus,1.0,69 days 00:00:00.000000000
1015,Azerbaijan,AZE,Asia,China,1.0,69 days 00:00:00.000000000
1016,Azerbaijan,AZE,Asia,Czechia,1.0,69 days 00:00:00.000000000
1017,Azerbaijan,AZE,Asia,France,1.0,69 days 00:00:00.000000000
1018,Azerbaijan,AZE,Asia,Georgia,1.0,69 days 00:00:00.000000000
1019,Azerbaijan,AZE,Asia,Germany,1.0,69 days 00:00:00.000000000
1020,Azerbaijan,AZE,Asia,Hungary,1.0,69 days 00:00:00.000000000
1021,Azerbaijan,AZE,Asia,Iran (Islamic Republic of),1.0,69 days 00:00:00.000000000
1022,Azerbaijan,AZE,Asia,Israel,1.0,69 days 00:00:00.000000000
1023,Azerbaijan,AZE,Asia,Italy,1.0,69 days 00:00:00.000000000
1024,Azerbaijan,AZE,Asia,Kazakhstan,1.0,69 days 00:00:00.000000000
1025,Azerbaijan,AZE,Asia,Latvia,1.0,69 days 00:00:00.000000000
1026,Azerbaijan,AZE,Asia,Qatar,1.0,69 days 00:00:00.000000000
1027,Azerbaijan,AZE,Asia,Russian Federation,1.0,69 days 00:00:00.000000000
1028,Azerbaijan,AZE,Asia,Turkey,1.0,69 days 00:00:00.000000000
1029,Azerbaijan,AZE,Asia,Turkmenistan,1.0,69 days 00:00:00.000000000
1030,Azerbaijan,AZE,Asia,Ukraine,1.0,69 days 00:00:00.000000000
1031,Azerbaijan,AZE,Asia,United Arab Emirates,1.0,69 days 00:00:00.000000000
1032,Azerbaijan,AZE,Asia,United Kingdom of Great Britain and Northern Ireland,1.0,69 days 00:00:00.000000000
1033,Azerbaijan,AZE,Asia,Uzbekistan,1.0,69 days 00:00:00.000000000
1122,Bahamas,BHS,Americas,Canada,1.0,132 days 00:00:00.000000000
1123,Bahamas,BHS,Americas,Cayman Islands,1.0,132 days 00:00:00.000000000
1124,Bahamas,BHS,Americas,Cuba,1.0,132 days 00:00:00.000000000
1125,Bahamas,BHS,Americas,Jamaica,1.0,132 days 00:00:00.000000000
1126,Bahamas,BHS,Americas,Panama,1.0,132 days 00:00:00.000000000
1127,Bahamas,BHS,Americas,Turks and Caicos Islands,1.0,132 days 00:00:00.000000000
1128,Bahamas,BHS,Americas,United Kingdom of Great Britain and Northern Ireland,1.0,132 days 00:00:00.000000000
1129,Bahamas,BHS,Americas,United States of America,1.0,132 days 00:00:00.000000000
1130,Bahrain,BHR,Asia,Cyprus,1.0,52 days 00:00:00.000000000
1131,Bahrain,BHR,Asia,Egypt,1.0,52 days 00:00:00.000000000
1132,Bahrain,BHR,Asia,Ethiopia,1.0,52 days 00:00:00.000000000
1133,Bahrain,BHR,Asia,France,1.0,52 days 00:00:00.000000000
1134,Bahrain,BHR,Asia,Germany,1.0,52 days 00:00:00.000000000
1135,Bahrain,BHR,Asia,India,1.0,52 days 00:00:00.000000000
1136,Bahrain,BHR,Asia,Iran (Islamic Republic of),1.0,52 days 00:00:00.000000000
1137,Bahrain,BHR,Asia,Iraq,1.0,52 days 00:00:00.000000000
1138,Bahrain,BHR,Asia,Jordan,1.0,52 days 00:00:00.000000000
1139,Bahrain,BHR,Asia,Kuwait,1.0,52 days 00:00:00.000000000
1140,Bahrain,BHR,Asia,Lebanon,1.0,52 days 00:00:00.000000000
1141,Bahrain,BHR,Asia,Oman,1.0,52 days 00:00:00.000000000
1142,Bahrain,BHR,Asia,Pakistan,1.0,52 days 00:00:00.000000000
1143,Bahrain,BHR,Asia,Philippines,1.0,52 days 00:00:00.000000000
1144,Bahrain,BHR,Asia,Qatar,1.0,52 days 00:00:00.000000000
1145,Bahrain,BHR,Asia,Saudi Arabia,1.0,52 days 00:00:00.000000000
1146,Bahrain,BHR,Asia,Sri Lanka,1.0,52 days 00:00:00.000000000
1147,Bahrain,BHR,Asia,Sudan,1.0,52 days 00:00:00.000000000
1148,Bahrain,BHR,Asia,Thailand,1.0,52 days 00:00:00.000000000
1149,Bahrain,BHR,Asia,Turkey,1.0,52 days 00:00:00.000000000
1150,Bahrain,BHR,Asia,United Arab Emirates,1.0,52 days 00:00:00.000000000
1151,Bahrain,BHR,Asia,United Kingdom of Great Britain and Northern Ireland,1.0,52 days 00:00:00.000000000
1152,Bahrain,BHR,Asia,Yemen,1.0,52 days 00:00:00.000000000
1176,Bangladesh,BGD,Asia,Bhutan,1.0,80 days 00:00:00.000000000
1177,Bangladesh,BGD,Asia,Myanmar,1.0,80 days 00:00:00.000000000
1178,Bangladesh,BGD,Asia,China,1.0,80 days 00:00:00.000000000
1179,Bangladesh,BGD,Asia,Hong Kong,1.0,80 days 00:00:00.000000000
1180,Bangladesh,BGD,Asia,India,1.0,80 days 00:00:00.000000000
1181,Bangladesh,BGD,Asia,Italy,1.0,80 days 00:00:00.000000000
1182,Bangladesh,BGD,Asia,Kuwait,1.0,80 days 00:00:00.000000000
1183,Bangladesh,BGD,Asia,Malaysia,1.0,80 days 00:00:00.000000000
1184,Bangladesh,BGD,Asia,Nepal,1.0,80 days 00:00:00.000000000
1185,Bangladesh,BGD,Asia,Oman,1.0,80 days 00:00:00.000000000
1186,Bangladesh,BGD,Asia,Pakistan,1.0,80 days 00:00:00.000000000
1187,Bangladesh,BGD,Asia,Qatar,1.0,80 days 00:00:00.000000000
1188,Bangladesh,BGD,Asia,Saudi Arabia,1.0,80 days 00:00:00.000000000
1189,Bangladesh,BGD,Asia,Singapore,1.0,80 days 00:00:00.000000000
1190,Bangladesh,BGD,Asia,Sri Lanka,1.0,80 days 00:00:00.000000000
1191,Bangladesh,BGD,Asia,Thailand,1.0,80 days 00:00:00.000000000
1192,Bangladesh,BGD,Asia,Turkey,1.0,80 days 00:00:00.000000000
1193,Bangladesh,BGD,Asia,United Arab Emirates,1.0,80 days 00:00:00.000000000
1194,Bangladesh,BGD,Asia,United Kingdom of Great Britain and Northern Ireland,1.0,80 days 00:00:00.000000000
1214,Barbados,BRB,Americas,Antigua and Barbuda,1.0,176 days 00:00:00.000000000
1215,Barbados,BRB,Americas,Brazil,1.0,176 days 00:00:00.000000000
1216,Barbados,BRB,Americas,Canada,1.0,176 days 00:00:00.000000000
1217,Barbados,BRB,Americas,Dominica,1.0,176 days 00:00:00.000000000
1218,Barbados,BRB,Americas,Germany,1.0,176 days 00:00:00.000000000
1219,Barbados,BRB,Americas,Grenada,1.0,176 days 00:00:00.000000000
1220,Barbados,BRB,Americas,Guyana,1.0,176 days 00:00:00.000000000
1221,Barbados,BRB,Americas,Jamaica,1.0,176 days 00:00:00.000000000
1222,Barbados,BRB,Americas,Martinique,1.0,176 days 00:00:00.000000000
1223,Barbados,BRB,Americas,Netherlands Antilles,1.0,176 days 00:00:00.000000000
1224,Barbados,BRB,Americas,Saint Lucia,1.0,176 days 00:00:00.000000000
1225,Barbados,BRB,Americas,Saint Vincent and the Grenadines,1.0,176 days 00:00:00.000000000
1226,Barbados,BRB,Americas,Trinidad and Tobago,1.0,176 days 00:00:00.000000000
1227,Barbados,BRB,Americas,United Kingdom of Great Britain and Northern Ireland,1.0,176 days 00:00:00.000000000
1228,Barbados,BRB,Americas,United States of America,1.0,176 days 00:00:00.000000000
1229,Belarus,BLR,Europe,Armenia,1.0,73 days 00:00:00.000000000
1230,Belarus,BLR,Europe,Austria,1.0,73 days 00:00:00.000000000
1231,Belarus,BLR,Europe,Azerbaijan,1.0,73 days 00:00:00.000000000
1232,Belarus,BLR,Europe,Cyprus,1.0,73 days 00:00:00.000000000
1233,Belarus,BLR,Europe,Czechia,1.0,73 days 00:00:00.000000000
1234,Belarus,BLR,Europe,Finland,1.0,73 days 00:00:00.000000000
1235,Belarus,BLR,Europe,France,1.0,73 days 00:00:00.000000000
1236,Belarus,BLR,Europe,Georgia,1.0,73 days 00:00:00.000000000
1237,Belarus,BLR,Europe,Germany,1.0,73 days 00:00:00.000000000
1238,Belarus,BLR,Europe,Hungary,1.0,73 days 00:00:00.000000000
1239,Belarus,BLR,Europe,Iran (Islamic Republic of),1.0,73 days 00:00:00.000000000
1240,Belarus,BLR,Europe,Israel,1.0,73 days 00:00:00.000000000
1241,Belarus,BLR,Europe,Italy,1.0,73 days 00:00:00.000000000
1242,Belarus,BLR,Europe,Kazakhstan,1.0,73 days 00:00:00.000000000
1243,Belarus,BLR,Europe,Latvia,1.0,73 days 00:00:00.000000000
1244,Belarus,BLR,Europe,Lebanon,1.0,73 days 00:00:00.000000000
1245,Belarus,BLR,Europe,Lithuania,1.0,73 days 00:00:00.000000000
1246,Belarus,BLR,Europe,Netherlands,1.0,73 days 00:00:00.000000000
1247,Belarus,BLR,Europe,Poland,1.0,73 days 00:00:00.000000000
1248,Belarus,BLR,Europe,Russian Federation,1.0,73 days 00:00:00.000000000
1249,Belarus,BLR,Europe,Spain,1.0,73 days 00:00:00.000000000
1250,Belarus,BLR,Europe,Sweden,1.0,73 days 00:00:00.000000000
1251,Belarus,BLR,Europe,Switzerland,1.0,73 days 00:00:00.000000000
1252,Belarus,BLR,Europe,Turkey,1.0,73 days 00:00:00.000000000
1253,Belarus,BLR,Europe,Turkmenistan,1.0,73 days 00:00:00.000000000
1254,Belarus,BLR,Europe,Ukraine,1.0,73 days 00:00:00.000000000
1255,Belarus,BLR,Europe,United Arab Emirates,1.0,73 days 00:00:00.000000000
1256,Belarus,BLR,Europe,United Kingdom of Great Britain and Northern Ireland,1.0,73 days 00:00:00.000000000
1369,Belgium,BEL,Europe,Algeria,1.0,47 days 00:00:00.000000000
1370,Belgium,BEL,Europe,Angola,1.0,47 days 00:00:00.000000000
1371,Belgium,BEL,Europe,Austria,1.0,47 days 00:00:00.000000000
1372,Belgium,BEL,Europe,Benin,1.0,47 days 00:00:00.000000000
1373,Belgium,BEL,Europe,Bulgaria,1.0,47 days 00:00:00.000000000
1374,Belgium,BEL,Europe,Burkina Faso,1.0,47 days 00:00:00.000000000
1375,Belgium,BEL,Europe,Burundi,1.0,47 days 00:00:00.000000000
1376,Belgium,BEL,Europe,Cameroon,1.0,47 days 00:00:00.000000000
1377,Belgium,BEL,Europe,Canada,1.0,47 days 00:00:00.000000000
1378,Belgium,BEL,Europe,China,1.0,47 days 00:00:00.000000000
